osm_id,feat_type,key,value,commentary
35106620,way,name,Pascual Saco Oliveros,most crossings have no name
111821176,way,name,Calle Río Ene,most crossings have no name
111965219,way,name,Bulevard Roosvelt,most crossings have no name
241248513,way,name,Plaza San Miguel,most crossings have no name
435369564,way,name,San Isidro - Barranco Run,most crossings have no name
467379972,way,name,Vía Reservada,most crossings have no name
642642494,way,name,Bulevard Roosvelt,most crossings have no name
674284789,way,name,Juan Figari,most crossings have no name
961143476,way,name,Ciclovía Bartolomé Herrera,most crossings have no name
963314070,way,name,De la Cruz,most crossings have no name
963314075,way,name,De la Cruz,most crossings have no name
964439517,way,name,Pasaje 21,most crossings have no name
1098964578,way,name,Ciclovía Bartolomé Herrera,most crossings have no name
1098964579,way,name,Ciclovía Bartolomé Herrera,most crossings have no name
1118957258,way,name,Ciclovía La Marina,most crossings have no name
1139080818,way,name,Bulevard Roosvelt,most crossings have no name
1139080820,way,name,Bulevard Roosvelt,most crossings have no name
1139080832,way,name,Bulevard Roosvelt,most crossings have no name
1139080834,way,name,Bulevard Roosvelt,most crossings have no name
1139084764,way,name,Bulevard Roosvelt,most crossings have no name
1139084766,way,name,Bulevard Roosvelt,most crossings have no name
1139084773,way,name,Bulevard Roosvelt,most crossings have no name
1139084775,way,name,Bulevard Roosvelt,most crossings have no name
1139084776,way,name,Bulevard Roosvelt,most crossings have no name
1139084777,way,name,Bulevard Roosvelt,most crossings have no name
1203330897,way,name,Ingreso Peatonal 1,most crossings have no name
1261918327,way,name,Pasaje Los Nísperos,most crossings have no name
1324232786,way,name,Plaza San Miguel,most crossings have no name
1342058406,way,name,Avenida Domingo Orué,most crossings have no name
1342058408,way,name,Avenida General Recavarren,most crossings have no name
1343533716,way,name,Ciclovía Universitaria,most crossings have no name
