osm_id,feat_type,key,value,commentary
3992453062,node,surface,MISSING,Surface tag is recommended to assess accessibility
10250119764,node,surface,MISSING,Surface tag is recommended to assess accessibility
10751328763,node,surface,MISSING,Surface tag is recommended to assess accessibility
10751328764,node,surface,MISSING,Surface tag is recommended to assess accessibility
35106620,way,surface,MISSING,Surface tag is recommended to assess accessibility
111821176,way,surface,MISSING,Surface tag is recommended to assess accessibility
111915143,way,surface,MISSING,Surface tag is recommended to assess accessibility
111965219,way,surface,MISSING,Surface tag is recommended to assess accessibility
114504112,way,surface,MISSING,Surface tag is recommended to assess accessibility
134140818,way,surface,MISSING,Surface tag is recommended to assess accessibility
151308223,way,surface,MISSING,Surface tag is recommended to assess accessibility
160442495,way,surface,MISSING,Surface tag is recommended to assess accessibility
241229735,way,surface,MISSING,Surface tag is recommended to assess accessibility
241229738,way,surface,MISSING,Surface tag is recommended to assess accessibility
241233145,way,surface,MISSING,Surface tag is recommended to assess accessibility
241233146,way,surface,MISSING,Surface tag is recommended to assess accessibility
241233148,way,surface,MISSING,Surface tag is recommended to assess accessibility
241235804,way,surface,MISSING,Surface tag is recommended to assess accessibility
241248513,way,surface,MISSING,Surface tag is recommended to assess accessibility
241255956,way,surface,MISSING,Surface tag is recommended to assess accessibility
241256083,way,surface,MISSING,Surface tag is recommended to assess accessibility
241256085,way,surface,MISSING,Surface tag is recommended to assess accessibility
289468771,way,surface,MISSING,Surface tag is recommended to assess accessibility
357596045,way,surface,MISSING,Surface tag is recommended to assess accessibility
370644989,way,surface,MISSING,Surface tag is recommended to assess accessibility
370645004,way,surface,MISSING,Surface tag is recommended to assess accessibility
391699882,way,surface,MISSING,Surface tag is recommended to assess accessibility
391916475,way,surface,MISSING,Surface tag is recommended to assess accessibility
391916476,way,surface,MISSING,Surface tag is recommended to assess accessibility
391995175,way,surface,MISSING,Surface tag is recommended to assess accessibility
392192581,way,surface,MISSING,Surface tag is recommended to assess accessibility
392375211,way,surface,MISSING,Surface tag is recommended to assess accessibility
392384355,way,surface,MISSING,Surface tag is recommended to assess accessibility
392652329,way,surface,MISSING,Surface tag is recommended to assess accessibility
392652338,way,surface,MISSING,Surface tag is recommended to assess accessibility
392652339,way,surface,MISSING,Surface tag is recommended to assess accessibility
393076960,way,surface,MISSING,Surface tag is recommended to assess accessibility
393509408,way,surface,MISSING,Surface tag is recommended to assess accessibility
393509434,way,surface,MISSING,Surface tag is recommended to assess accessibility
393509437,way,surface,MISSING,Surface tag is recommended to assess accessibility
393509452,way,surface,MISSING,Surface tag is recommended to assess accessibility
393879923,way,surface,MISSING,Surface tag is recommended to assess accessibility
393895169,way,surface,MISSING,Surface tag is recommended to assess accessibility
393895171,way,surface,MISSING,Surface tag is recommended to assess accessibility
394166850,way,surface,MISSING,Surface tag is recommended to assess accessibility
394729791,way,surface,MISSING,Surface tag is recommended to assess accessibility
394729792,way,surface,MISSING,Surface tag is recommended to assess accessibility
394736563,way,surface,MISSING,Surface tag is recommended to assess accessibility
394967459,way,surface,MISSING,Surface tag is recommended to assess accessibility
394995220,way,surface,MISSING,Surface tag is recommended to assess accessibility
