osm_id,feat_type,key,value,commentary
241235804,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
241248513,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
241255955,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
241255956,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
241255958,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
241256083,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
241256085,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
289468771,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
295038070,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
295038071,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
295038072,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
295038074,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
304452631,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
391699882,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
391916275,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
391916276,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
391916277,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
391916473,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
391916474,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
391916475,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
391916476,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
391917554,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
391917556,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
391954048,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
392192581,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
392384355,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
392652329,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
392652338,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
392652339,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
393076960,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
393286252,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
393286253,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
393289572,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
393289573,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
393509408,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
393509434,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
393509437,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
393509452,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
393879923,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
393895169,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
393895171,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
394729791,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
394729792,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
394736563,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
394967459,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
394995220,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
394995221,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
394998311,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
394998312,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
395001658,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
395001659,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
395001661,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
395001662,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
396430315,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
396438029,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
396438511,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
396438512,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
396439309,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
397392667,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
397486726,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
397486732,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
397489942,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
397540709,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
397540710,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
397546638,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
397708110,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
397708112,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
397708116,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
397712415,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
397714332,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
397715240,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
397721435,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
397724669,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
