osm_id,key,value,commentary
4827861,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
24281828,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
33820214,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
35102273,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
35106620,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
36980626,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
53833391,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
53833398,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
53833399,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
53833400,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
53833405,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
54609960,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
54811634,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
54862597,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
54862599,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
54862603,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
54862607,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
54862627,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
54862632,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
54862634,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
54862636,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
55446864,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
71094146,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
75057008,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
96678484,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111880629,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111881317,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111882937,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111883700,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111885228,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111886781,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111889978,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111890588,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111892012,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111892060,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111893683,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111894676,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111896886,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111897759,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111897769,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111897983,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111898130,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111898172,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111898306,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111898704,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111899519,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111901737,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111902036,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111902694,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111902894,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111903238,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111903947,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111904190,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111905470,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111909089,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111913350,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111916377,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111919849,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111926066,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111927155,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111930927,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111932815,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111933128,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111937847,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111938648,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111938673,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111939464,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111940012,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111940081,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111944396,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111944995,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111946034,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111946554,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111947801,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111948812,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111948997,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111952331,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111955276,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111955930,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111956166,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111956446,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111958974,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111959323,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111959358,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111962897,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111963063,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111964812,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
111970516,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
115572637,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
115572650,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
115572663,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
115678856,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
121289994,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
121296400,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
122375905,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
131940612,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
131940651,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
131940654,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
131940655,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
131945191,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
143820567,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
149293681,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
149294495,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
149294497,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
149294498,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
149295799,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
149319694,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
162791110,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
163599629,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
163599637,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
163648796,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
163712140,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
163716372,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
163825777,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
163825780,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
163825781,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
163825783,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
163825785,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
163825789,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
163825790,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
164058033,crossing,nan,"It's inappropriate for Sidewalks, probably mistakenly tagged"
