osm_id,feat_type,key,value,commentary
114613846,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
262730390,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1273690370,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1759772460,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
3245705918,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
3245705923,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
3245705924,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
3245705929,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
3245705930,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
3245705932,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
3245705959,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
3245705961,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
3245706006,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
3245706007,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
3261249254,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
3261249255,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
3261249256,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
3952810640,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
3952810641,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
3952991347,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
4033899334,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
4039124523,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
4039124621,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
4039145250,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
4039145251,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
4039145252,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
4039145253,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
4039158700,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
4039158739,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
4039158740,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
4039178241,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
4039178242,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
4069200592,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
