osm_id,feat_type,key,value,commentary
438939891,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
438939892,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
600800266,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
648288695,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
648288696,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
648288697,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
648288698,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
648288699,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
653654426,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
653654428,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
653654429,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
653654430,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
653823507,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
653828571,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
653828573,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
653828574,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
653828575,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
655114870,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
1102928415,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
1102928416,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
1102928419,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
1102928421,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
1102928422,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
1456557895,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
1548005880,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
1548977365,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
