osm_id,feat_type,key,value,commentary
442761245,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
1759772453,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3211859080,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3214772673,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3214905895,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3214905897,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3214905901,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3214905903,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3232462062,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3245705894,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3245705895,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3245705899,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3245705900,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3245705941,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3245705948,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3245705950,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3245705963,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3245705973,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3246794196,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3246794199,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3261249480,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3952827981,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3952827986,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3952828763,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3974039014,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4039124552,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4039124595,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4039124596,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4039142376,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4081606553,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4117258321,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4117258322,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4117258323,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4117258324,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4143633194,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4186479548,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4318884459,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4325704994,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4348865445,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4355003652,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4355003653,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4355003654,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4355003655,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4355003656,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4362392709,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4362392710,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4362392711,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4362392712,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4365362204,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4365805804,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4365805805,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4365805806,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4365805807,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4365805808,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
5047042835,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
5967806791,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
6053460505,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
6083555089,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
6129316404,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
6129316912,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
6129318302,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
6129318323,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
6129318324,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
6129318411,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
6129320262,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
6291208617,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
7070185614,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
7070308564,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
7070315662,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
7089664430,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
7089676024,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
7214092357,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
7221379897,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
7221379903,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
7221379904,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8939912178,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
9125047935,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
9164073350,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
9275780901,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
9284555523,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
10569202618,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
10569202619,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
10569202621,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
10569202622,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
10703110706,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
10737669548,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
10741801464,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
10783381742,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
10800975114,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
10800975161,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
11054252705,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
11054252706,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
11250618870,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
11357443749,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
11397179111,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
11397179112,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
12408794899,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
12408794900,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
12410879716,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
12410925705,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
12428184973,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
12428184977,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
12429057801,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
12430876746,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
