osm_id,feat_type,key,value,commentary
4117258321,node,last_update,25-8-2016,Feature has not been updated in 5 years or more
4117258322,node,last_update,20-12-2019,Feature has not been updated in 5 years or more
4117258323,node,last_update,20-12-2019,Feature has not been updated in 5 years or more
4117258324,node,last_update,20-12-2019,Feature has not been updated in 5 years or more
4348865445,node,last_update,6-2-2020,Feature has not been updated in 5 years or more
4355003652,node,last_update,18-8-2016,Feature has not been updated in 5 years or more
4355003653,node,last_update,18-8-2016,Feature has not been updated in 5 years or more
4355003654,node,last_update,18-8-2016,Feature has not been updated in 5 years or more
4355003656,node,last_update,18-8-2016,Feature has not been updated in 5 years or more
4365362204,node,last_update,6-2-2020,Feature has not been updated in 5 years or more
4365805804,node,last_update,9-3-2018,Feature has not been updated in 5 years or more
4365805805,node,last_update,9-3-2018,Feature has not been updated in 5 years or more
4365805806,node,last_update,25-8-2016,Feature has not been updated in 5 years or more
4365805807,node,last_update,9-3-2018,Feature has not been updated in 5 years or more
4365805808,node,last_update,25-8-2016,Feature has not been updated in 5 years or more
5967806791,node,last_update,3-4-2019,Feature has not been updated in 5 years or more
6129316404,node,last_update,10-12-2018,Feature has not been updated in 5 years or more
6129316912,node,last_update,23-12-2018,Feature has not been updated in 5 years or more
6129318323,node,last_update,10-12-2018,Feature has not been updated in 5 years or more
6129318324,node,last_update,10-12-2018,Feature has not been updated in 5 years or more
6129318411,node,last_update,23-12-2018,Feature has not been updated in 5 years or more
6129320262,node,last_update,10-12-2018,Feature has not been updated in 5 years or more
7214092346,node,last_update,15-2-2020,Feature has not been updated in 5 years or more
7214092357,node,last_update,15-2-2020,Feature has not been updated in 5 years or more
7214092361,node,last_update,15-2-2020,Feature has not been updated in 5 years or more
7221379897,node,last_update,17-2-2020,Feature has not been updated in 5 years or more
7221379903,node,last_update,17-2-2020,Feature has not been updated in 5 years or more
7221379904,node,last_update,17-2-2020,Feature has not been updated in 5 years or more
8899948251,node,last_update,3-8-2021,Feature has not been updated in 5 years or more
8968822988,node,last_update,1-8-2021,Feature has not been updated in 5 years or more
8968822989,node,last_update,1-8-2021,Feature has not been updated in 5 years or more
9012873915,node,last_update,9-9-2021,Feature has not been updated in 5 years or more
9012873916,node,last_update,9-9-2021,Feature has not been updated in 5 years or more
9012900917,node,last_update,9-9-2021,Feature has not been updated in 5 years or more
9012900918,node,last_update,9-9-2021,Feature has not been updated in 5 years or more
9012900919,node,last_update,9-9-2021,Feature has not been updated in 5 years or more
9012900920,node,last_update,9-9-2021,Feature has not been updated in 5 years or more
9061215990,node,last_update,9-9-2021,Feature has not been updated in 5 years or more
9061215991,node,last_update,9-9-2021,Feature has not been updated in 5 years or more
9061215992,node,last_update,9-9-2021,Feature has not been updated in 5 years or more
9061215996,node,last_update,9-9-2021,Feature has not been updated in 5 years or more
9061215997,node,last_update,9-9-2021,Feature has not been updated in 5 years or more
9061215998,node,last_update,9-9-2021,Feature has not been updated in 5 years or more
9061216000,node,last_update,9-9-2021,Feature has not been updated in 5 years or more
9061216004,node,last_update,9-9-2021,Feature has not been updated in 5 years or more
9061217432,node,last_update,9-9-2021,Feature has not been updated in 5 years or more
9061217433,node,last_update,9-9-2021,Feature has not been updated in 5 years or more
9061217448,node,last_update,9-9-2021,Feature has not been updated in 5 years or more
9061217449,node,last_update,9-9-2021,Feature has not been updated in 5 years or more
