osm_id,feat_type,key,value,commentary
472206448,node,surface,MISSING,Surface tag is recommended to assess accessibility
1451454506,node,surface,MISSING,Surface tag is recommended to assess accessibility
1739331515,node,surface,MISSING,Surface tag is recommended to assess accessibility
1890982674,node,surface,MISSING,Surface tag is recommended to assess accessibility
1890982739,node,surface,MISSING,Surface tag is recommended to assess accessibility
1890990477,node,surface,MISSING,Surface tag is recommended to assess accessibility
1909463124,node,surface,MISSING,Surface tag is recommended to assess accessibility
1910806735,node,surface,MISSING,Surface tag is recommended to assess accessibility
1910806841,node,surface,MISSING,Surface tag is recommended to assess accessibility
1910807026,node,surface,MISSING,Surface tag is recommended to assess accessibility
2972422213,node,surface,MISSING,Surface tag is recommended to assess accessibility
4120503714,node,surface,MISSING,Surface tag is recommended to assess accessibility
4120503747,node,surface,MISSING,Surface tag is recommended to assess accessibility
4120503760,node,surface,MISSING,Surface tag is recommended to assess accessibility
4164691844,node,surface,MISSING,Surface tag is recommended to assess accessibility
4164691847,node,surface,MISSING,Surface tag is recommended to assess accessibility
4164691860,node,surface,MISSING,Surface tag is recommended to assess accessibility
4191001845,node,surface,MISSING,Surface tag is recommended to assess accessibility
4191060432,node,surface,MISSING,Surface tag is recommended to assess accessibility
4191090360,node,surface,MISSING,Surface tag is recommended to assess accessibility
4191090376,node,surface,MISSING,Surface tag is recommended to assess accessibility
4191092699,node,surface,MISSING,Surface tag is recommended to assess accessibility
4191092702,node,surface,MISSING,Surface tag is recommended to assess accessibility
4191092704,node,surface,MISSING,Surface tag is recommended to assess accessibility
4196184163,node,surface,MISSING,Surface tag is recommended to assess accessibility
4234858493,node,surface,MISSING,Surface tag is recommended to assess accessibility
4332654329,node,surface,MISSING,Surface tag is recommended to assess accessibility
4332856075,node,surface,MISSING,Surface tag is recommended to assess accessibility
4332856076,node,surface,MISSING,Surface tag is recommended to assess accessibility
4336100880,node,surface,MISSING,Surface tag is recommended to assess accessibility
4336149033,node,surface,MISSING,Surface tag is recommended to assess accessibility
4337555876,node,surface,MISSING,Surface tag is recommended to assess accessibility
4347917261,node,surface,MISSING,Surface tag is recommended to assess accessibility
4356481204,node,surface,MISSING,Surface tag is recommended to assess accessibility
4356640308,node,surface,MISSING,Surface tag is recommended to assess accessibility
4356654894,node,surface,MISSING,Surface tag is recommended to assess accessibility
4356654910,node,surface,MISSING,Surface tag is recommended to assess accessibility
4358121218,node,surface,MISSING,Surface tag is recommended to assess accessibility
4365118880,node,surface,MISSING,Surface tag is recommended to assess accessibility
4368340772,node,surface,MISSING,Surface tag is recommended to assess accessibility
4372737010,node,surface,MISSING,Surface tag is recommended to assess accessibility
4412523232,node,surface,MISSING,Surface tag is recommended to assess accessibility
4510791495,node,surface,MISSING,Surface tag is recommended to assess accessibility
4709178586,node,surface,MISSING,Surface tag is recommended to assess accessibility
4821544725,node,surface,MISSING,Surface tag is recommended to assess accessibility
4821544726,node,surface,MISSING,Surface tag is recommended to assess accessibility
4821544732,node,surface,MISSING,Surface tag is recommended to assess accessibility
4837858249,node,surface,MISSING,Surface tag is recommended to assess accessibility
5069417596,node,surface,MISSING,Surface tag is recommended to assess accessibility
5069417613,node,surface,MISSING,Surface tag is recommended to assess accessibility
5273107068,node,surface,MISSING,Surface tag is recommended to assess accessibility
5290444701,node,surface,MISSING,Surface tag is recommended to assess accessibility
5380610940,node,surface,MISSING,Surface tag is recommended to assess accessibility
5585401853,node,surface,MISSING,Surface tag is recommended to assess accessibility
5585519450,node,surface,MISSING,Surface tag is recommended to assess accessibility
5585519451,node,surface,MISSING,Surface tag is recommended to assess accessibility
5610700605,node,surface,MISSING,Surface tag is recommended to assess accessibility
5614327871,node,surface,MISSING,Surface tag is recommended to assess accessibility
5680620905,node,surface,MISSING,Surface tag is recommended to assess accessibility
5712323174,node,surface,MISSING,Surface tag is recommended to assess accessibility
5712323189,node,surface,MISSING,Surface tag is recommended to assess accessibility
5712323190,node,surface,MISSING,Surface tag is recommended to assess accessibility
5712425453,node,surface,MISSING,Surface tag is recommended to assess accessibility
5751211580,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757290012,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757420988,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757433259,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757433260,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757433261,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757452475,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757452488,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757452510,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757544165,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757544206,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757544207,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757702545,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757702547,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757702554,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757702559,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757702617,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757702618,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757702619,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757744910,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757746530,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757746556,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757746559,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757746560,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757746561,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757746562,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757746563,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757820321,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757820385,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757820388,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757820397,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757820398,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757820399,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757820400,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757820440,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757820441,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757820442,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757820451,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757820452,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757842232,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757842283,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757866311,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757867059,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757867060,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757867064,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757867065,node,surface,MISSING,Surface tag is recommended to assess accessibility
5757867066,node,surface,MISSING,Surface tag is recommended to assess accessibility
5759332641,node,surface,MISSING,Surface tag is recommended to assess accessibility
5759332642,node,surface,MISSING,Surface tag is recommended to assess accessibility
5809616055,node,surface,MISSING,Surface tag is recommended to assess accessibility
5915152238,node,surface,MISSING,Surface tag is recommended to assess accessibility
5915152239,node,surface,MISSING,Surface tag is recommended to assess accessibility
5915152240,node,surface,MISSING,Surface tag is recommended to assess accessibility
5915152241,node,surface,MISSING,Surface tag is recommended to assess accessibility
6177395616,node,surface,MISSING,Surface tag is recommended to assess accessibility
6300484666,node,surface,MISSING,Surface tag is recommended to assess accessibility
6783357905,node,surface,MISSING,Surface tag is recommended to assess accessibility
6783357906,node,surface,MISSING,Surface tag is recommended to assess accessibility
6783357907,node,surface,MISSING,Surface tag is recommended to assess accessibility
6783357908,node,surface,MISSING,Surface tag is recommended to assess accessibility
6783372289,node,surface,MISSING,Surface tag is recommended to assess accessibility
6783644275,node,surface,MISSING,Surface tag is recommended to assess accessibility
6783644277,node,surface,MISSING,Surface tag is recommended to assess accessibility
6790910298,node,surface,MISSING,Surface tag is recommended to assess accessibility
6854438476,node,surface,MISSING,Surface tag is recommended to assess accessibility
7587840488,node,surface,MISSING,Surface tag is recommended to assess accessibility
8295068780,node,surface,MISSING,Surface tag is recommended to assess accessibility
8301948849,node,surface,MISSING,Surface tag is recommended to assess accessibility
8760843033,node,surface,MISSING,Surface tag is recommended to assess accessibility
9118109370,node,surface,MISSING,Surface tag is recommended to assess accessibility
9118109383,node,surface,MISSING,Surface tag is recommended to assess accessibility
9146983435,node,surface,MISSING,Surface tag is recommended to assess accessibility
9284397207,node,surface,MISSING,Surface tag is recommended to assess accessibility
9342247819,node,surface,MISSING,Surface tag is recommended to assess accessibility
9342247820,node,surface,MISSING,Surface tag is recommended to assess accessibility
9342415040,node,surface,MISSING,Surface tag is recommended to assess accessibility
9342437728,node,surface,MISSING,Surface tag is recommended to assess accessibility
9373572264,node,surface,MISSING,Surface tag is recommended to assess accessibility
9375286077,node,surface,MISSING,Surface tag is recommended to assess accessibility
9375342663,node,surface,MISSING,Surface tag is recommended to assess accessibility
9379510045,node,surface,MISSING,Surface tag is recommended to assess accessibility
9386962179,node,surface,MISSING,Surface tag is recommended to assess accessibility
9392356408,node,surface,MISSING,Surface tag is recommended to assess accessibility
9424547201,node,surface,MISSING,Surface tag is recommended to assess accessibility
9505579398,node,surface,MISSING,Surface tag is recommended to assess accessibility
9505621454,node,surface,MISSING,Surface tag is recommended to assess accessibility
9505625734,node,surface,MISSING,Surface tag is recommended to assess accessibility
9505648353,node,surface,MISSING,Surface tag is recommended to assess accessibility
9584326127,node,surface,MISSING,Surface tag is recommended to assess accessibility
9611790228,node,surface,MISSING,Surface tag is recommended to assess accessibility
9669217126,node,surface,MISSING,Surface tag is recommended to assess accessibility
9669217456,node,surface,MISSING,Surface tag is recommended to assess accessibility
9669217790,node,surface,MISSING,Surface tag is recommended to assess accessibility
9669217797,node,surface,MISSING,Surface tag is recommended to assess accessibility
9669217799,node,surface,MISSING,Surface tag is recommended to assess accessibility
9669217801,node,surface,MISSING,Surface tag is recommended to assess accessibility
9818701982,node,surface,MISSING,Surface tag is recommended to assess accessibility
9837355580,node,surface,MISSING,Surface tag is recommended to assess accessibility
9837355586,node,surface,MISSING,Surface tag is recommended to assess accessibility
9984651600,node,surface,MISSING,Surface tag is recommended to assess accessibility
9984660013,node,surface,MISSING,Surface tag is recommended to assess accessibility
9987433458,node,surface,MISSING,Surface tag is recommended to assess accessibility
9987433466,node,surface,MISSING,Surface tag is recommended to assess accessibility
10007054887,node,surface,MISSING,Surface tag is recommended to assess accessibility
10007054888,node,surface,MISSING,Surface tag is recommended to assess accessibility
10027914921,node,surface,MISSING,Surface tag is recommended to assess accessibility
10027988204,node,surface,MISSING,Surface tag is recommended to assess accessibility
10074233317,node,surface,MISSING,Surface tag is recommended to assess accessibility
10100549325,node,surface,MISSING,Surface tag is recommended to assess accessibility
10129734093,node,surface,MISSING,Surface tag is recommended to assess accessibility
10167880843,node,surface,MISSING,Surface tag is recommended to assess accessibility
10246854185,node,surface,MISSING,Surface tag is recommended to assess accessibility
10296000173,node,surface,MISSING,Surface tag is recommended to assess accessibility
10671875725,node,surface,MISSING,Surface tag is recommended to assess accessibility
10674327195,node,surface,MISSING,Surface tag is recommended to assess accessibility
10674327201,node,surface,MISSING,Surface tag is recommended to assess accessibility
10674359453,node,surface,MISSING,Surface tag is recommended to assess accessibility
10698228314,node,surface,MISSING,Surface tag is recommended to assess accessibility
10699589603,node,surface,MISSING,Surface tag is recommended to assess accessibility
10699961451,node,surface,MISSING,Surface tag is recommended to assess accessibility
10700164467,node,surface,MISSING,Surface tag is recommended to assess accessibility
10700217671,node,surface,MISSING,Surface tag is recommended to assess accessibility
10700670154,node,surface,MISSING,Surface tag is recommended to assess accessibility
10701961680,node,surface,MISSING,Surface tag is recommended to assess accessibility
10702112986,node,surface,MISSING,Surface tag is recommended to assess accessibility
10702315152,node,surface,MISSING,Surface tag is recommended to assess accessibility
10702344293,node,surface,MISSING,Surface tag is recommended to assess accessibility
10702344294,node,surface,MISSING,Surface tag is recommended to assess accessibility
10702642088,node,surface,MISSING,Surface tag is recommended to assess accessibility
10717548282,node,surface,MISSING,Surface tag is recommended to assess accessibility
10735261289,node,surface,MISSING,Surface tag is recommended to assess accessibility
10735261290,node,surface,MISSING,Surface tag is recommended to assess accessibility
10737135566,node,surface,MISSING,Surface tag is recommended to assess accessibility
10737135567,node,surface,MISSING,Surface tag is recommended to assess accessibility
10737135570,node,surface,MISSING,Surface tag is recommended to assess accessibility
10737669541,node,surface,MISSING,Surface tag is recommended to assess accessibility
10739554435,node,surface,MISSING,Surface tag is recommended to assess accessibility
10739554437,node,surface,MISSING,Surface tag is recommended to assess accessibility
10739798351,node,surface,MISSING,Surface tag is recommended to assess accessibility
10739798359,node,surface,MISSING,Surface tag is recommended to assess accessibility
10739798360,node,surface,MISSING,Surface tag is recommended to assess accessibility
10739798362,node,surface,MISSING,Surface tag is recommended to assess accessibility
10739865117,node,surface,MISSING,Surface tag is recommended to assess accessibility
10739947210,node,surface,MISSING,Surface tag is recommended to assess accessibility
10749460426,node,surface,MISSING,Surface tag is recommended to assess accessibility
10749545106,node,surface,MISSING,Surface tag is recommended to assess accessibility
10750877531,node,surface,MISSING,Surface tag is recommended to assess accessibility
10750973477,node,surface,MISSING,Surface tag is recommended to assess accessibility
10750973478,node,surface,MISSING,Surface tag is recommended to assess accessibility
10751234377,node,surface,MISSING,Surface tag is recommended to assess accessibility
10751264180,node,surface,MISSING,Surface tag is recommended to assess accessibility
10751308853,node,surface,MISSING,Surface tag is recommended to assess accessibility
10751328037,node,surface,MISSING,Surface tag is recommended to assess accessibility
10751404857,node,surface,MISSING,Surface tag is recommended to assess accessibility
10751414441,node,surface,MISSING,Surface tag is recommended to assess accessibility
10751459064,node,surface,MISSING,Surface tag is recommended to assess accessibility
10751681581,node,surface,MISSING,Surface tag is recommended to assess accessibility
10751681582,node,surface,MISSING,Surface tag is recommended to assess accessibility
10751708471,node,surface,MISSING,Surface tag is recommended to assess accessibility
10751708474,node,surface,MISSING,Surface tag is recommended to assess accessibility
10751708481,node,surface,MISSING,Surface tag is recommended to assess accessibility
10751708482,node,surface,MISSING,Surface tag is recommended to assess accessibility
10751736482,node,surface,MISSING,Surface tag is recommended to assess accessibility
10751736484,node,surface,MISSING,Surface tag is recommended to assess accessibility
10753752235,node,surface,MISSING,Surface tag is recommended to assess accessibility
10753752236,node,surface,MISSING,Surface tag is recommended to assess accessibility
10753752239,node,surface,MISSING,Surface tag is recommended to assess accessibility
10753772730,node,surface,MISSING,Surface tag is recommended to assess accessibility
10753868745,node,surface,MISSING,Surface tag is recommended to assess accessibility
10754321300,node,surface,MISSING,Surface tag is recommended to assess accessibility
10754459206,node,surface,MISSING,Surface tag is recommended to assess accessibility
10754597901,node,surface,MISSING,Surface tag is recommended to assess accessibility
10756116339,node,surface,MISSING,Surface tag is recommended to assess accessibility
10756116349,node,surface,MISSING,Surface tag is recommended to assess accessibility
10756116400,node,surface,MISSING,Surface tag is recommended to assess accessibility
10756188392,node,surface,MISSING,Surface tag is recommended to assess accessibility
10756188395,node,surface,MISSING,Surface tag is recommended to assess accessibility
10756188399,node,surface,MISSING,Surface tag is recommended to assess accessibility
10756234658,node,surface,MISSING,Surface tag is recommended to assess accessibility
10756234659,node,surface,MISSING,Surface tag is recommended to assess accessibility
10756272744,node,surface,MISSING,Surface tag is recommended to assess accessibility
10756272752,node,surface,MISSING,Surface tag is recommended to assess accessibility
10756278890,node,surface,MISSING,Surface tag is recommended to assess accessibility
10756278891,node,surface,MISSING,Surface tag is recommended to assess accessibility
10756500576,node,surface,MISSING,Surface tag is recommended to assess accessibility
10756643699,node,surface,MISSING,Surface tag is recommended to assess accessibility
10756643700,node,surface,MISSING,Surface tag is recommended to assess accessibility
10756643701,node,surface,MISSING,Surface tag is recommended to assess accessibility
10756756823,node,surface,MISSING,Surface tag is recommended to assess accessibility
10756756825,node,surface,MISSING,Surface tag is recommended to assess accessibility
10756771648,node,surface,MISSING,Surface tag is recommended to assess accessibility
10756844647,node,surface,MISSING,Surface tag is recommended to assess accessibility
10756844648,node,surface,MISSING,Surface tag is recommended to assess accessibility
10757511263,node,surface,MISSING,Surface tag is recommended to assess accessibility
10757511264,node,surface,MISSING,Surface tag is recommended to assess accessibility
10757573309,node,surface,MISSING,Surface tag is recommended to assess accessibility
10757573310,node,surface,MISSING,Surface tag is recommended to assess accessibility
10766553347,node,surface,MISSING,Surface tag is recommended to assess accessibility
10780915243,node,surface,MISSING,Surface tag is recommended to assess accessibility
10780915244,node,surface,MISSING,Surface tag is recommended to assess accessibility
10848296923,node,surface,MISSING,Surface tag is recommended to assess accessibility
10941734899,node,surface,MISSING,Surface tag is recommended to assess accessibility
10941734900,node,surface,MISSING,Surface tag is recommended to assess accessibility
10962575090,node,surface,MISSING,Surface tag is recommended to assess accessibility
11168383700,node,surface,MISSING,Surface tag is recommended to assess accessibility
11168398774,node,surface,MISSING,Surface tag is recommended to assess accessibility
11201204421,node,surface,MISSING,Surface tag is recommended to assess accessibility
11201204427,node,surface,MISSING,Surface tag is recommended to assess accessibility
11201204428,node,surface,MISSING,Surface tag is recommended to assess accessibility
11218904296,node,surface,MISSING,Surface tag is recommended to assess accessibility
11264937660,node,surface,MISSING,Surface tag is recommended to assess accessibility
11910871972,node,surface,MISSING,Surface tag is recommended to assess accessibility
11910871973,node,surface,MISSING,Surface tag is recommended to assess accessibility
12133219109,node,surface,MISSING,Surface tag is recommended to assess accessibility
12141949068,node,surface,MISSING,Surface tag is recommended to assess accessibility
12337431028,node,surface,MISSING,Surface tag is recommended to assess accessibility
12337518844,node,surface,MISSING,Surface tag is recommended to assess accessibility
12337518845,node,surface,MISSING,Surface tag is recommended to assess accessibility
12337518848,node,surface,MISSING,Surface tag is recommended to assess accessibility
12337707295,node,surface,MISSING,Surface tag is recommended to assess accessibility
12338119747,node,surface,MISSING,Surface tag is recommended to assess accessibility
12339501820,node,surface,MISSING,Surface tag is recommended to assess accessibility
12339501823,node,surface,MISSING,Surface tag is recommended to assess accessibility
12351904253,node,surface,MISSING,Surface tag is recommended to assess accessibility
12351904254,node,surface,MISSING,Surface tag is recommended to assess accessibility
12365566828,node,surface,MISSING,Surface tag is recommended to assess accessibility
12365841200,node,surface,MISSING,Surface tag is recommended to assess accessibility
12374006880,node,surface,MISSING,Surface tag is recommended to assess accessibility
12381094885,node,surface,MISSING,Surface tag is recommended to assess accessibility
