osm_id,feat_type,key,value,commentary
37272320,way,surface,bricks,"unlisted at accepted/known values, probably wrong/misspelled"
111909980,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
131940647,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
180638237,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
435970177,way,surface,grass_paver,"unlisted at accepted/known values, probably wrong/misspelled"
457105143,way,surface,stepping_stones,"unlisted at accepted/known values, probably wrong/misspelled"
457106672,way,surface,stepping_stones,"unlisted at accepted/known values, probably wrong/misspelled"
570553347,way,surface,stone,"unlisted at accepted/known values, probably wrong/misspelled"
584928857,way,surface,tartan,"unlisted at accepted/known values, probably wrong/misspelled"
626051501,way,surface,pebblestone,"unlisted at accepted/known values, probably wrong/misspelled"
835869849,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
849968059,way,surface,stone,"unlisted at accepted/known values, probably wrong/misspelled"
913257466,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
984501789,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
986413993,way,surface,rock,"unlisted at accepted/known values, probably wrong/misspelled"
1052153473,way,surface,tiles,"unlisted at accepted/known values, probably wrong/misspelled"
1052153474,way,surface,tiles,"unlisted at accepted/known values, probably wrong/misspelled"
1054037635,way,surface,tiles,"unlisted at accepted/known values, probably wrong/misspelled"
1062495944,way,surface,grass_paver,"unlisted at accepted/known values, probably wrong/misspelled"
1098046214,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
1098046215,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
1098604656,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
1104560217,way,surface,grass_paver,"unlisted at accepted/known values, probably wrong/misspelled"
1171598877,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
1172887358,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
1380340723,way,surface,tiles,"unlisted at accepted/known values, probably wrong/misspelled"
1394071082,way,surface,pebblestone,"unlisted at accepted/known values, probably wrong/misspelled"
1395301840,way,surface,pebblestone,"unlisted at accepted/known values, probably wrong/misspelled"
1395301842,way,surface,pebblestone,"unlisted at accepted/known values, probably wrong/misspelled"
1395301844,way,surface,pebblestone,"unlisted at accepted/known values, probably wrong/misspelled"
1395301846,way,surface,pebblestone,"unlisted at accepted/known values, probably wrong/misspelled"
1395301847,way,surface,pebblestone,"unlisted at accepted/known values, probably wrong/misspelled"
1395301849,way,surface,pebblestone,"unlisted at accepted/known values, probably wrong/misspelled"
1487439626,way,surface,tiles,"unlisted at accepted/known values, probably wrong/misspelled"
1487439633,way,surface,tiles,"unlisted at accepted/known values, probably wrong/misspelled"
1499376656,way,surface,tiles,"unlisted at accepted/known values, probably wrong/misspelled"
1499376675,way,surface,tiles,"unlisted at accepted/known values, probably wrong/misspelled"
1538467081,way,surface,cemento,"unlisted at accepted/known values, probably wrong/misspelled"
1546862990,way,surface,tiles,"unlisted at accepted/known values, probably wrong/misspelled"
