osm_id,key,value,commentary
241235804,crossing,zebra,uncontrolled
241248510,crossing,zebra,uncontrolled
241248513,crossing,zebra,uncontrolled
241255955,crossing,zebra,uncontrolled
241255956,crossing,zebra,uncontrolled
241255958,crossing,zebra,uncontrolled
241256083,crossing,zebra,uncontrolled
241256085,crossing,zebra,uncontrolled
289468771,crossing,zebra,uncontrolled
295038070,crossing,marked,uncontrolled
295038071,crossing,marked,uncontrolled
295038072,crossing,marked,uncontrolled
295038073,crossing,marked,uncontrolled
295038074,crossing,marked,uncontrolled
304452631,crossing,marked,uncontrolled
391699882,crossing,zebra,uncontrolled
391916275,crossing,zebra,uncontrolled
391916276,crossing,zebra,uncontrolled
391916277,crossing,zebra,uncontrolled
391916473,crossing,zebra,uncontrolled
391916474,crossing,zebra,uncontrolled
391916475,crossing,zebra,uncontrolled
391916476,crossing,zebra,uncontrolled
391917554,crossing,zebra,uncontrolled
391917556,crossing,zebra,uncontrolled
391954048,crossing,zebra,uncontrolled
392192581,crossing,zebra,uncontrolled
393076959,crossing,zebra,uncontrolled
393076960,crossing,zebra,uncontrolled
393282113,crossing,zebra,uncontrolled
393286252,crossing,zebra,uncontrolled
393286253,crossing,zebra,uncontrolled
393289572,crossing,zebra,uncontrolled
393289573,crossing,zebra,uncontrolled
393509408,crossing,zebra,uncontrolled
393509434,crossing,zebra,uncontrolled
393509437,crossing,zebra,uncontrolled
393509452,crossing,zebra,uncontrolled
394729791,crossing,zebra,uncontrolled
394729792,crossing,zebra,uncontrolled
394736563,crossing,zebra,uncontrolled
394995220,crossing,zebra,uncontrolled
394995221,crossing,zebra,uncontrolled
394998311,crossing,zebra,uncontrolled
394998312,crossing,zebra,uncontrolled
396423130,crossing,zebra,uncontrolled
396430315,crossing,zebra,uncontrolled
396438029,crossing,zebra,uncontrolled
396438511,crossing,zebra,uncontrolled
396438512,crossing,zebra,uncontrolled
396439309,crossing,zebra,uncontrolled
396816471,crossing,zebra,uncontrolled
396816472,crossing,zebra,uncontrolled
396816474,crossing,zebra,uncontrolled
396817290,crossing,zebra,uncontrolled
396817291,crossing,zebra,uncontrolled
396817820,crossing,zebra,uncontrolled
396818693,crossing,zebra,uncontrolled
396818694,crossing,zebra,uncontrolled
396818695,crossing,zebra,uncontrolled
396818696,crossing,zebra,uncontrolled
396818699,crossing,zebra,uncontrolled
396818700,crossing,zebra,uncontrolled
396819001,crossing,zebra,uncontrolled
396819002,crossing,zebra,uncontrolled
396819003,crossing,zebra,uncontrolled
396819004,crossing,zebra,uncontrolled
396820509,crossing,zebra,uncontrolled
396820510,crossing,zebra,uncontrolled
397489942,crossing,zebra,uncontrolled
397540709,crossing,zebra,uncontrolled
397540710,crossing,zebra,uncontrolled
397546638,crossing,zebra,uncontrolled
398849489,crossing,zebra,uncontrolled
398849491,crossing,zebra,uncontrolled
398849494,crossing,zebra,uncontrolled
398849880,crossing,zebra,uncontrolled
398849884,crossing,zebra,uncontrolled
398849885,crossing,zebra,uncontrolled
399538215,crossing,zebra,uncontrolled
399538216,crossing,zebra,uncontrolled
399539333,crossing,zebra,uncontrolled
400425687,crossing,zebra,uncontrolled
400425688,crossing,zebra,uncontrolled
400426408,crossing,zebra,uncontrolled
400448090,crossing,zebra,uncontrolled
400602184,crossing,zebra,uncontrolled
400613454,crossing,zebra,uncontrolled
400616209,crossing,zebra,uncontrolled
400877760,crossing,zebra,uncontrolled
400888583,crossing,zebra,uncontrolled
400891251,crossing,zebra,uncontrolled
401025841,crossing,zebra,uncontrolled
401025842,crossing,zebra,uncontrolled
401029759,crossing,zebra,uncontrolled
401029774,crossing,zebra,uncontrolled
401029775,crossing,marked,uncontrolled
401029777,crossing,zebra,uncontrolled
401289605,crossing,zebra,uncontrolled
