osm_id,feat_type,key,value,commentary
4827861,way,surface,MISSING,Surface tag is recommended to assess accessibility
33820214,way,surface,MISSING,Surface tag is recommended to assess accessibility
35102273,way,surface,MISSING,Surface tag is recommended to assess accessibility
53833391,way,surface,MISSING,Surface tag is recommended to assess accessibility
53833398,way,surface,MISSING,Surface tag is recommended to assess accessibility
53833399,way,surface,MISSING,Surface tag is recommended to assess accessibility
53833400,way,surface,MISSING,Surface tag is recommended to assess accessibility
54609960,way,surface,MISSING,Surface tag is recommended to assess accessibility
54609975,way,surface,MISSING,Surface tag is recommended to assess accessibility
54811634,way,surface,MISSING,Surface tag is recommended to assess accessibility
54862597,way,surface,MISSING,Surface tag is recommended to assess accessibility
54862599,way,surface,MISSING,Surface tag is recommended to assess accessibility
54862603,way,surface,MISSING,Surface tag is recommended to assess accessibility
54862607,way,surface,MISSING,Surface tag is recommended to assess accessibility
54862627,way,surface,MISSING,Surface tag is recommended to assess accessibility
54862632,way,surface,MISSING,Surface tag is recommended to assess accessibility
54862634,way,surface,MISSING,Surface tag is recommended to assess accessibility
54862636,way,surface,MISSING,Surface tag is recommended to assess accessibility
55446864,way,surface,MISSING,Surface tag is recommended to assess accessibility
68212696,way,surface,MISSING,Surface tag is recommended to assess accessibility
68212705,way,surface,MISSING,Surface tag is recommended to assess accessibility
68314463,way,surface,MISSING,Surface tag is recommended to assess accessibility
68314464,way,surface,MISSING,Surface tag is recommended to assess accessibility
68317934,way,surface,MISSING,Surface tag is recommended to assess accessibility
68317956,way,surface,MISSING,Surface tag is recommended to assess accessibility
68317963,way,surface,MISSING,Surface tag is recommended to assess accessibility
71071608,way,surface,MISSING,Surface tag is recommended to assess accessibility
71094146,way,surface,MISSING,Surface tag is recommended to assess accessibility
75057008,way,surface,MISSING,Surface tag is recommended to assess accessibility
110061866,way,surface,MISSING,Surface tag is recommended to assess accessibility
111598105,way,surface,MISSING,Surface tag is recommended to assess accessibility
111800072,way,surface,MISSING,Surface tag is recommended to assess accessibility
111880629,way,surface,MISSING,Surface tag is recommended to assess accessibility
111881317,way,surface,MISSING,Surface tag is recommended to assess accessibility
111882937,way,surface,MISSING,Surface tag is recommended to assess accessibility
111883700,way,surface,MISSING,Surface tag is recommended to assess accessibility
