osm_id,feat_type,key,value,commentary
24281828,way,last_update,10-7-2016,Feature has not been updated in 5 years or more
33820214,way,last_update,13-3-2018,Feature has not been updated in 5 years or more
53833398,way,last_update,25-9-2016,Feature has not been updated in 5 years or more
53833399,way,last_update,30-12-2018,Feature has not been updated in 5 years or more
54862597,way,last_update,8-11-2016,Feature has not been updated in 5 years or more
54862599,way,last_update,8-11-2016,Feature has not been updated in 5 years or more
54862607,way,last_update,8-11-2016,Feature has not been updated in 5 years or more
54862627,way,last_update,5-11-2020,Feature has not been updated in 5 years or more
54862632,way,last_update,5-11-2020,Feature has not been updated in 5 years or more
54862634,way,last_update,5-11-2020,Feature has not been updated in 5 years or more
54862636,way,last_update,5-11-2020,Feature has not been updated in 5 years or more
68212696,way,last_update,6-7-2021,Feature has not been updated in 5 years or more
68212705,way,last_update,6-7-2021,Feature has not been updated in 5 years or more
68314463,way,last_update,20-7-2021,Feature has not been updated in 5 years or more
68314464,way,last_update,20-7-2021,Feature has not been updated in 5 years or more
68317934,way,last_update,6-7-2021,Feature has not been updated in 5 years or more
68317956,way,last_update,6-7-2021,Feature has not been updated in 5 years or more
68317963,way,last_update,6-7-2021,Feature has not been updated in 5 years or more
71071608,way,last_update,5-9-2020,Feature has not been updated in 5 years or more
71094146,way,last_update,13-3-2019,Feature has not been updated in 5 years or more
96678484,way,last_update,29-12-2020,Feature has not been updated in 5 years or more
110061866,way,last_update,3-3-2019,Feature has not been updated in 5 years or more
111598105,way,last_update,3-10-2016,Feature has not been updated in 5 years or more
111883700,way,last_update,5-7-2021,Feature has not been updated in 5 years or more
111889978,way,last_update,25-1-2018,Feature has not been updated in 5 years or more
111890588,way,last_update,13-4-2018,Feature has not been updated in 5 years or more
111892060,way,last_update,27-5-2020,Feature has not been updated in 5 years or more
111893683,way,last_update,25-1-2018,Feature has not been updated in 5 years or more
111894676,way,last_update,14-8-2020,Feature has not been updated in 5 years or more
111896886,way,last_update,25-1-2018,Feature has not been updated in 5 years or more
