osm_id,feat_type,key,value,commentary
33820214,way,name,Pasaje Marcahuasi,most sidewalks don't have an actual name
46263923,way,name,Pasaje El Laurel,most sidewalks don't have an actual name
53833391,way,name,Jirón Enrique Guzmán y Valle,most sidewalks don't have an actual name
53833398,way,name,Santiago Tavara,most sidewalks don't have an actual name
53833399,way,name,Jirón Enrique Guzmán y Valle,most sidewalks don't have an actual name
53833400,way,name,Jirón Sicuani,most sidewalks don't have an actual name
53833405,way,name,Jirón Sicuani,most sidewalks don't have an actual name
54609975,way,name,Pasaje Santa Rosa,most sidewalks don't have an actual name
67624795,way,name,Pasaje Júpiter,most sidewalks don't have an actual name
68200164,way,name,Mariano Melgar,most sidewalks don't have an actual name
68212696,way,name,Jirón Los Aloes,most sidewalks don't have an actual name
68212705,way,name,Domingo Choquehuanca,most sidewalks don't have an actual name
68314463,way,name,Jirón Las Rosamalvas,most sidewalks don't have an actual name
68314464,way,name,Sulla,most sidewalks don't have an actual name
68317934,way,name,Valdelomar,most sidewalks don't have an actual name
68317963,way,name,Inca Garcilaso de la Vega,most sidewalks don't have an actual name
71094146,way,name,Pasaje Alcazar,most sidewalks don't have an actual name
111799948,way,name,Prolongacíon Manuel Gonzales,most sidewalks don't have an actual name
111800071,way,name,Prolongación Hipólito Unanue,most sidewalks don't have an actual name
111800072,way,name,Pasaje 6,most sidewalks don't have an actual name
111881317,way,name,Avenida Mantaro,most sidewalks don't have an actual name
111883963,way,name,Pasaje Pablo Saco Oliveros,most sidewalks don't have an actual name
111886781,way,name,Calle Santa Rosa,most sidewalks don't have an actual name
111890588,way,name,Pasaje Los Andes,most sidewalks don't have an actual name
111892060,way,name,Pasaje San Judas Tadeo,most sidewalks don't have an actual name
111894676,way,name,Pasaje Urubamba,most sidewalks don't have an actual name
111897759,way,name,Pasaje Los Cabildantes,most sidewalks don't have an actual name
111898306,way,name,Pasaje San Martín,most sidewalks don't have an actual name
111898704,way,name,Zoila Caceres,most sidewalks don't have an actual name
111899519,way,name,Jirón Vizcardo y Guzmán,most sidewalks don't have an actual name
111903947,way,name,Pasaje Husares de Junin,most sidewalks don't have an actual name
111904190,way,name,Jirón Los Inkas,most sidewalks don't have an actual name
111904266,way,name,Pasaje Manuel Salcedo,most sidewalks don't have an actual name
111905470,way,name,Pasaje Los Rios,most sidewalks don't have an actual name
111908988,way,name,Nuestra Señora de La Gracia,most sidewalks don't have an actual name
111917527,way,name,Pasaje Mateo Pumacahua,most sidewalks don't have an actual name
111922984,way,name,Pasaje Juan Parra del Riego,most sidewalks don't have an actual name
111927155,way,name,Pasaje Cerro el Pino,most sidewalks don't have an actual name
111928718,way,name,Pasaje Enrique López Albújar,most sidewalks don't have an actual name
111932815,way,name,Prolongación Inca Garcilazo,most sidewalks don't have an actual name
111933128,way,name,Jose de la Torre Ugarte,most sidewalks don't have an actual name
111934072,way,name,Pasaje Juan de Arona,most sidewalks don't have an actual name
111934989,way,name,Pasaje María de los Ángeles,most sidewalks don't have an actual name
111937847,way,name,Santa Isabel Flores de Oliva,most sidewalks don't have an actual name
111940012,way,name,Pasaje Jose María Arguedas,most sidewalks don't have an actual name
111940081,way,name,Los Nenufares,most sidewalks don't have an actual name
111945545,way,name,Pasaje Manuel Seoane,most sidewalks don't have an actual name
111947801,way,name,Pasaje Santa Anita,most sidewalks don't have an actual name
111951884,way,name,Pasaje Julio César Tello,most sidewalks don't have an actual name
111952140,way,name,Pasaje María de los Ángeles,most sidewalks don't have an actual name
111954655,way,name,Calle Los Pensamientos,most sidewalks don't have an actual name
111955636,way,name,Pasaje José María Arguedas,most sidewalks don't have an actual name
111959358,way,name,Union,most sidewalks don't have an actual name
111962763,way,name,Pasaje Toribio Rodríguez de Mendoza,most sidewalks don't have an actual name
111964812,way,name,Pasaje La Ensenada,most sidewalks don't have an actual name
111965098,way,name,Pasaje Andrés Avelino Cáceres,most sidewalks don't have an actual name
115572637,way,name,Pasaje Pardo y Aliaga,most sidewalks don't have an actual name
