osm_id,feat_type,key,value,commentary
418181052,way,surface,stepping_stones,"unlisted at accepted/known values, probably wrong/misspelled"
445504944,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
445504945,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
445504946,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
445504947,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
445504948,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
451475589,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
451475590,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
452781646,way,surface,grass_paver,"unlisted at accepted/known values, probably wrong/misspelled"
452786716,way,surface,grass_paver,"unlisted at accepted/known values, probably wrong/misspelled"
517814260,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
548976916,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
548976918,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
548976920,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
548982354,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
548982356,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
647541271,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
647541273,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
647541275,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
647541277,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
666334559,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
666334560,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
670924380,way,surface,grass_paver,"unlisted at accepted/known values, probably wrong/misspelled"
835869844,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
835869845,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
835901295,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
835901296,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
835901297,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
835901298,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
835901299,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
835901300,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
875654268,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
875654269,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
875654272,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
896815684,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
938316896,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
938316900,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
1360459884,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
