osm_id,key,value,commentary
111915143,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
111965219,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
151308223,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
160442495,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
241233145,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
241233146,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
241233148,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
241235804,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
241248510,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
241248513,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
241255955,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
241255956,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
241255958,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
241256083,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
241256085,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
241257568,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
241257569,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
256246255,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
289468771,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
295038070,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
295038071,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
295038072,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
295038073,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
295038074,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
304452631,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
333015904,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
357596045,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
391699882,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
391916275,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
391916276,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
391916277,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
391916473,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
391916474,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
391916475,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
391916476,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
391917554,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
391917556,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
391954048,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
391995175,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
392192581,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
393076959,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
393076960,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
393282113,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
393286252,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
393286253,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
393289572,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
393289573,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
393509408,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
393509434,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
393509437,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
393509452,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
