osm_id,key,value,commentary
4827861,name,nan,most sidewalks dont have an actual name
24281828,name,nan,most sidewalks dont have an actual name
33820214,name,Pasaje Marcahuasi,most sidewalks dont have an actual name
35102273,name,nan,most sidewalks dont have an actual name
35106620,name,Pascual Saco Oliveros,most sidewalks dont have an actual name
36980626,name,Pasaje Río Perené,most sidewalks dont have an actual name
53833391,name,Jirón Enrique Guzmán y Valle,most sidewalks dont have an actual name
53833398,name,Santiago Tavara,most sidewalks dont have an actual name
53833399,name,Jirón Enrique Guzmán y Valle,most sidewalks dont have an actual name
53833400,name,Sicuani,most sidewalks dont have an actual name
53833405,name,Sicuani,most sidewalks dont have an actual name
54609960,name,nan,most sidewalks dont have an actual name
54811634,name,nan,most sidewalks dont have an actual name
54862597,name,nan,most sidewalks dont have an actual name
54862599,name,nan,most sidewalks dont have an actual name
54862603,name,nan,most sidewalks dont have an actual name
54862607,name,nan,most sidewalks dont have an actual name
54862627,name,nan,most sidewalks dont have an actual name
54862632,name,nan,most sidewalks dont have an actual name
54862634,name,nan,most sidewalks dont have an actual name
54862636,name,nan,most sidewalks dont have an actual name
55446864,name,nan,most sidewalks dont have an actual name
71094146,name,Pasaje Alcazar,most sidewalks dont have an actual name
75057008,name,nan,most sidewalks dont have an actual name
96678484,name,nan,most sidewalks dont have an actual name
111880629,name,nan,most sidewalks dont have an actual name
111881317,name,Avenida Mantaro,most sidewalks dont have an actual name
111882937,name,nan,most sidewalks dont have an actual name
111883700,name,nan,most sidewalks dont have an actual name
111885228,name,nan,most sidewalks dont have an actual name
111886781,name,Calle Santa Rosa,most sidewalks dont have an actual name
111889978,name,nan,most sidewalks dont have an actual name
111890588,name,Pasaje Los Andes,most sidewalks dont have an actual name
111892012,name,nan,most sidewalks dont have an actual name
111892060,name,Pasaje San Judas Tadeo,most sidewalks dont have an actual name
111893683,name,nan,most sidewalks dont have an actual name
111894676,name,Pasaje Urubamba,most sidewalks dont have an actual name
111896886,name,nan,most sidewalks dont have an actual name
111897759,name,Pasaje Los Cabildantes,most sidewalks dont have an actual name
111897769,name,nan,most sidewalks dont have an actual name
111897983,name,nan,most sidewalks dont have an actual name
111898130,name,nan,most sidewalks dont have an actual name
111898172,name,nan,most sidewalks dont have an actual name
111898306,name,Pasaje San Martin,most sidewalks dont have an actual name
111898704,name,Zoila Caceres,most sidewalks dont have an actual name
111899519,name,Jirón Vizcardo y Guzmán,most sidewalks dont have an actual name
111901737,name,nan,most sidewalks dont have an actual name
111902036,name,nan,most sidewalks dont have an actual name
111902694,name,nan,most sidewalks dont have an actual name
111902894,name,nan,most sidewalks dont have an actual name
111903238,name,nan,most sidewalks dont have an actual name
111903947,name,Pasaje Husares de Junin,most sidewalks dont have an actual name
111904190,name,Jirón Los Inkas,most sidewalks dont have an actual name
111905470,name,Pasaje Los Rios,most sidewalks dont have an actual name
111909089,name,nan,most sidewalks dont have an actual name
111913350,name,nan,most sidewalks dont have an actual name
