osm_id,key,value,commentary
111915143,crossing,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111965219,crossing,nan,"unlisted at accepted/known values, probably wrong/misspelled"
151308223,crossing,nan,"unlisted at accepted/known values, probably wrong/misspelled"
160442495,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
241233145,crossing,nan,"unlisted at accepted/known values, probably wrong/misspelled"
241233146,crossing,nan,"unlisted at accepted/known values, probably wrong/misspelled"
241233148,crossing,nan,"unlisted at accepted/known values, probably wrong/misspelled"
241235804,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
241248510,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
241248513,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
241255955,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
241255956,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
241255958,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
241256083,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
241256085,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
241257568,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
241257569,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
256246255,crossing,nan,"unlisted at accepted/known values, probably wrong/misspelled"
289468771,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
295038070,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
295038071,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
295038072,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
295038073,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
295038074,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
304452631,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
333015904,crossing,nan,"unlisted at accepted/known values, probably wrong/misspelled"
357596045,crossing,nan,"unlisted at accepted/known values, probably wrong/misspelled"
391699882,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
391916275,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
391916276,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
391916277,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
391916473,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
391916474,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
391916475,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
391916476,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
391917554,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
391917556,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
391954048,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
391995175,crossing,nan,"unlisted at accepted/known values, probably wrong/misspelled"
392192581,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
393076959,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
393076960,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
393282113,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
393286252,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
393286253,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
393289572,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
393289573,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
393509408,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
393509434,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
393509437,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
393509452,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
394729791,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
394729792,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
394736563,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
394995220,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
394995221,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
394998311,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
394998312,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
396423130,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
396430315,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
396438029,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
396438511,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
396438512,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
396439309,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
396816471,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
396816472,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
396816474,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
396817290,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
396817291,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
396817820,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
396818693,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
396818694,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
396818695,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
396818696,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
396818699,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
396818700,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
396819001,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
396819002,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
396819003,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
396819004,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
396819357,crossing,nan,"unlisted at accepted/known values, probably wrong/misspelled"
396819358,crossing,nan,"unlisted at accepted/known values, probably wrong/misspelled"
396820509,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
396820510,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
396821339,crossing,nan,"unlisted at accepted/known values, probably wrong/misspelled"
397489942,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
397540709,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
397540710,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
397546638,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
398849489,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
398849491,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
398849494,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
398849880,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
398849884,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
398849885,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
399538215,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
399538216,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
399539333,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
400425687,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
400425688,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
400426408,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
