osm_id,key,value,commentary
4827861,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
24281828,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
33820214,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
35102273,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
35106620,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
36980626,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
53833391,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
53833398,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
53833399,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
53833400,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
53833405,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
54609960,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
54811634,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
54862597,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
54862599,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
54862603,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
54862607,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
54862627,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
54862632,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
54862634,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
54862636,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
55446864,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
71094146,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
75057008,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
96678484,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111880629,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111881317,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111882937,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111883700,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111885228,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111886781,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111889978,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111890588,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111892012,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111892060,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111893683,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111894676,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111896886,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111897759,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111897769,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111897983,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111898130,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111898172,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111898306,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111898704,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111899519,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111901737,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111902036,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111902694,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111902894,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111903238,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111903947,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111904190,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111905470,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111909089,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111913350,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111916377,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111919849,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111926066,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111927155,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111930927,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111932815,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111933128,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111937847,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111938648,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111938673,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111939464,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111940012,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111940081,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111944396,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111944995,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111946034,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111946554,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111947801,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111948812,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111948997,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111952331,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111955276,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111955930,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111956166,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111956446,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111958974,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111959323,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111959358,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111962897,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111963063,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111964812,smoothness,nan,"unlisted at accepted/known values, probably wrong/misspelled"
111970516,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
115572637,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
115572650,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
115572663,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
115678856,surface,nan,"unlisted at accepted/known values, probably wrong/misspelled"
